"1","TFSC","1347 Capital Corp.","http://www.nasdaq.com/symbol/tfsc","Finance","Business Services"
"2","TFSCR","1347 Capital Corp.","http://www.nasdaq.com/symbol/tfscr","Finance","Business Services"
"3","TFSCU","1347 Capital Corp.","http://www.nasdaq.com/symbol/tfscu","n/a","n/a"
"4","TFSCW","1347 Capital Corp.","http://www.nasdaq.com/symbol/tfscw","Finance","Business Services"
"5","PIH","1347 Property Insurance Holdings, Inc.","http://www.nasdaq.com/symbol/pih","Finance","Property-Casualty Insurers"
"6","FLWS","1-800 FLOWERS.COM, Inc.","http://www.nasdaq.com/symbol/flws","Consumer Services","Other Specialty Stores"
"7","FCTY","1st Century Bancshares, Inc","http://www.nasdaq.com/symbol/fcty","Finance","Major Banks"
"8","FCCY","1st Constitution Bancorp (NJ)","http://www.nasdaq.com/symbol/fccy","Finance","Savings Institutions"
"9","SRCE","1st Source Corporation","http://www.nasdaq.com/symbol/srce","Finance","Major Banks"
"10","VNET","21Vianet Group, Inc.","http://www.nasdaq.com/symbol/vnet","Technology","Computer Software: Programming, Data Processing"
"11","TWOU","2U, Inc.","http://www.nasdaq.com/symbol/twou","Technology","Computer Software: Prepackaged Software"
"12","DGLD","3X Inverse Gold ETN Velocityshares","http://www.nasdaq.com/symbol/dgld","Finance","Investment Bankers/Brokers/Service"
"13","JOBS","51job, Inc.","http://www.nasdaq.com/symbol/jobs","Technology","Diversified Commercial Services"
"14","SIXD","6D Global Technologies, Inc.","http://www.nasdaq.com/symbol/sixd","Consumer Services","Professional Services"
"15","EGHT","8x8 Inc","http://www.nasdaq.com/symbol/eght","Public Utilities","Telecommunications Equipment"
"16","AVHI","A V Homes, Inc.","http://www.nasdaq.com/symbol/avhi","Capital Goods","Homebuilding"
"17","SHLM","A. Schulman, Inc.","http://www.nasdaq.com/symbol/shlm","Basic Industries","Major Chemicals"
"18","AAON","AAON, Inc.","http://www.nasdaq.com/symbol/aaon","Capital Goods","Industrial Machinery/Components"
"19","ABAX","ABAXIS, Inc.","http://www.nasdaq.com/symbol/abax","Capital Goods","Industrial Machinery/Components"
"20","ABY","Abengoa Yield plc","http://www.nasdaq.com/symbol/aby","Public Utilities","Electric Utilities: Central"
"21","ABGB","Abengoa, S.A.","http://www.nasdaq.com/symbol/abgb","Consumer Services","Military/Government/Technical"
